Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
9,25,16,24,12.5,37.25,24.75,32.25,10.0,21.0,14.0,18.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.20694444444444443,0.1375,0.17916666666666667,0.5930555555555556,80,10,10,10,10,4,2,4,0,10,120,16
2,9,3,9,2.75,12.5,2.0,10.75,10.0,12.0,10.0,13.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.06944444444444445,0.011111111111111112,0.059722222222222225,0.15555555555555556,55,10,10,10,10,4,2,4,0,10,120,16
31,38,34,16,44.5,51.25,45.75,24.75,28.0,32.0,29.0,15.0,180.0,180.0,180.0,180.0,0.24722222222222223,0.2847222222222222,0.25416666666666665,0.1375,0.9236111111111112,120,10,10,10,10,4,2,4,0,10,120,16
9,9,16,16,10.75,12.5,17.0,20.5,10.0,10.0,10.0,12.0,180.0,180.0,180.0,180.0,0.059722222222222225,0.06944444444444445,0.09444444444444444,0.11388888888888889,0.3375,55,10,10,10,10,4,2,4,0,10,120,16
22,21,26,25,32.58,28.0,41.5,37.25,24.0,21.0,31.0,28.0,180.0,180.0,180.0,180.0,0.181,0.15555555555555556,0.23055555555555557,0.20694444444444443,0.7740555555555555,120,10,10,10,10,4,2,4,0,10,120,16
0,34,26,1,0.0,45.75,41.5,0.33,10.0,23.0,21.0,10.0,180.0,180.0,180.0,180.0,0.0,0.25416666666666665,0.23055555555555557,0.0018333333333333335,0.4865555555555556,80,10,10,10,10,4,2,4,0,10,120,16
2,5,25,17,2.75,10.5,36.0,26.5,10.0,10.0,20.0,15.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.058333333333333334,0.2,0.14722222222222223,0.4208333333333334,70,10,10,10,10,4,2,4,0,10,120,16
27,17,2,29,34.25,30.5,2.75,41.25,19.0,17.0,10.0,23.0,180.0,180.0,180.0,180.0,0.19027777777777777,0.16944444444444445,0.015277777777777777,0.22916666666666666,0.6041666666666666,85,10,10,10,10,4,2,4,0,10,120,16
25,24,25,16,36.0,29.0,37.25,20.5,23.0,19.0,24.0,13.0,180.0,180.0,180.0,180.0,0.2,0.16111111111111112,0.20694444444444443,0.11388888888888889,0.6819444444444445,95,10,10,10,10,4,2,4,0,10,120,16
26,1,12,21,29.41,1.0,14.25,28.0,14.0,10.0,10.0,15.0,180.0,180.0,180.0,180.0,0.1633888888888889,0.005555555555555556,0.07916666666666666,0.15555555555555556,0.4036666666666667,65,10,10,10,10,4,2,4,0,10,120,16
4,7,25,38,4.0,11.0,36.0,51.25,10.0,10.0,20.0,29.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.06111111111111111,0.2,0.2847222222222222,0.5680555555555555,85,10,10,10,10,4,2,4,0,10,120,16
38,22,17,16,66.75,32.58,30.5,24.75,45.0,22.0,21.0,17.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.181,0.16944444444444445,0.1375,0.8587777777777779,120,10,10,10,10,4,2,4,0,10,120,16
0,7,19,3,0.0,11.0,26.75,2.0,10.0,10.0,17.0,10.0,180.0,180.0,180.0,180.0,0.0,0.06111111111111111,0.1486111111111111,0.011111111111111112,0.22083333333333333,60,10,10,10,10,4,2,4,0,10,120,16
29,42,25,0,41.25,56.5,37.25,0.0,29.0,39.0,26.0,10.0,180.0,180.0,180.0,180.0,0.22916666666666666,0.3138888888888889,0.20694444444444443,0.0,0.75,120,10,10,10,10,4,2,4,0,10,120,16
24,7,31,18,38.0,11.0,44.5,21.25,22.0,10.0,25.0,13.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.06111111111111111,0.24722222222222223,0.11805555555555555,0.6375,85,10,10,10,10,4,2,4,0,10,120,16
24,9,29,3,33.0,10.75,41.25,2.0,17.0,10.0,21.0,10.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.059722222222222225,0.22916666666666666,0.011111111111111112,0.48333333333333334,75,10,10,10,10,4,2,4,0,10,120,16
4,31,32,9,5.5,44.5,38.65,12.5,10.0,24.0,21.0,10.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.24722222222222223,0.2147222222222222,0.06944444444444445,0.5619444444444445,80,10,10,10,10,4,2,4,0,10,120,16
12,17,42,4,14.25,26.5,56.5,4.0,10.0,14.0,30.0,10.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.14722222222222223,0.3138888888888889,0.022222222222222223,0.5625,80,10,10,10,10,4,2,4,0,10,120,16
2,9,0,32,2.75,10.75,0.0,38.65,10.0,10.0,10.0,21.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.059722222222222225,0.0,0.2147222222222222,0.2897222222222222,65,10,10,10,10,4,2,4,0,10,120,16
37,24,16,12,53.25,32.25,20.5,19.5,36.0,22.0,14.0,13.0,180.0,180.0,180.0,180.0,0.29583333333333334,0.17916666666666667,0.11388888888888889,0.10833333333333334,0.6972222222222222,100,10,10,10,10,4,2,4,0,10,120,16
42,3,4,26,65.0,2.0,4.0,41.5,39.0,10.0,10.0,25.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.011111111111111112,0.022222222222222223,0.23055555555555557,0.625,100,10,10,10,10,4,2,4,0,10,120,16
29,0,27,42,41.25,0.0,31.83,65.0,28.0,10.0,22.0,44.0,180.0,180.0,180.0,180.0,0.22916666666666666,0.0,0.17683333333333331,0.3611111111111111,0.7671111111111111,120,10,10,10,10,4,2,4,0,10,120,16
42,7,0,1,65.0,11.0,0.0,0.33,34.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.06111111111111111,0.0,0.0018333333333333335,0.4240555555555556,80,10,10,10,10,4,2,4,0,10,120,16
25,24,24,38,36.0,33.0,38.0,66.75,22.0,20.0,23.0,40.0,180.0,180.0,180.0,180.0,0.2,0.18333333333333332,0.2111111111111111,0.37083333333333335,0.9652777777777778,120,10,10,10,10,4,2,4,0,10,120,16
32,16,21,24,38.65,20.5,28.0,33.0,24.0,13.0,17.0,20.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.11388888888888889,0.15555555555555556,0.18333333333333332,0.6675,90,10,10,10,10,4,2,4,0,10,120,16
27,42,7,12,34.25,56.5,11.0,25.25,23.0,38.0,10.0,17.0,180.0,180.0,180.0,180.0,0.19027777777777777,0.3138888888888889,0.06111111111111111,0.14027777777777778,0.7055555555555555,105,10,10,10,10,4,2,4,0,10,120,16
30,26,34,0,43.75,41.5,45.75,0.0,31.0,30.0,33.0,10.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.23055555555555557,0.25416666666666665,0.0,0.7277777777777777,120,10,10,10,10,4,2,4,0,10,120,16
0,25,0,25,0.0,37.25,0.0,36.0,10.0,17.0,10.0,17.0,180.0,180.0,180.0,180.0,0.0,0.20694444444444443,0.0,0.2,0.40694444444444444,70,10,10,10,10,4,2,4,0,10,120,16
26,19,4,16,29.41,26.75,4.0,24.75,14.0,12.0,10.0,14.0,180.0,180.0,180.0,180.0,0.1633888888888889,0.1486111111111111,0.022222222222222223,0.1375,0.4717222222222222,65,10,10,10,10,4,2,4,0,10,120,16
0,38,26,12,0.0,66.75,41.5,19.5,10.0,44.0,27.0,14.0,180.0,180.0,180.0,180.0,0.0,0.37083333333333335,0.23055555555555557,0.10833333333333334,0.7097222222222224,110,10,10,10,10,4,2,4,0,10,120,16
12,7,42,0,19.5,11.0,65.0,0.0,10.0,10.0,34.0,10.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.06111111111111111,0.3611111111111111,0.0,0.5305555555555556,80,10,10,10,10,4,2,4,0,10,120,16
0,42,25,1,0.0,65.0,36.0,1.0,10.0,35.0,19.0,10.0,180.0,180.0,180.0,180.0,0.0,0.3611111111111111,0.2,0.005555555555555556,0.5666666666666667,90,10,10,10,10,4,2,4,0,10,120,16
26,16,19,14,41.5,20.5,26.75,22.25,24.0,12.0,15.0,13.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.11388888888888889,0.1486111111111111,0.12361111111111112,0.6166666666666667,80,10,10,10,10,4,2,4,0,10,120,16
38,10,16,21,51.25,14.25,20.5,28.0,30.0,10.0,12.0,16.0,180.0,180.0,180.0,180.0,0.2847222222222222,0.07916666666666666,0.11388888888888889,0.15555555555555556,0.6333333333333333,85,10,10,10,10,4,2,4,0,10,120,16
16,25,14,24,17.0,37.25,22.25,26.5,10.0,21.0,12.0,14.0,180.0,180.0,180.0,180.0,0.09444444444444444,0.20694444444444443,0.12361111111111112,0.14722222222222223,0.5722222222222222,75,10,10,10,10,4,2,4,0,10,120,16
1,7,4,16,0.33,11.0,4.0,17.0,10.0,12.0,10.0,15.0,180.0,180.0,180.0,180.0,0.0018333333333333335,0.06111111111111111,0.022222222222222223,0.09444444444444444,0.1796111111111111,60,10,10,10,10,4,2,4,0,10,120,16
34,27,24,16,45.75,34.25,38.0,23.0,34.0,25.0,28.0,17.0,180.0,180.0,180.0,180.0,0.25416666666666665,0.19027777777777777,0.2111111111111111,0.12777777777777777,0.7833333333333333,120,10,10,10,10,4,2,4,0,10,120,16
4,16,19,12,4.0,17.0,26.75,25.25,10.0,10.0,13.0,12.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.09444444444444444,0.1486111111111111,0.14027777777777778,0.40555555555555556,60,10,10,10,10,4,2,4,0,10,120,16
26,14,27,1,41.5,16.25,34.25,1.0,21.0,10.0,17.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.09027777777777778,0.19027777777777777,0.005555555555555556,0.5166666666666666,75,10,10,10,10,4,2,4,0,10,120,16
37,27,30,4,50.33,42.33,43.75,4.0,35.0,29.0,30.0,10.0,180.0,180.0,180.0,180.0,0.2796111111111111,0.23516666666666666,0.24305555555555555,0.022222222222222223,0.7800555555555556,120,10,10,10,10,4,2,4,0,10,120,16
12,24,7,3,25.25,33.0,11.0,2.0,12.0,16.0,10.0,10.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.18333333333333332,0.06111111111111111,0.011111111111111112,0.3958333333333333,65,10,10,10,10,4,2,4,0,10,120,16
0,4,26,9,0.0,4.0,41.5,12.5,10.0,10.0,23.0,10.0,180.0,180.0,180.0,180.0,0.0,0.022222222222222223,0.23055555555555557,0.06944444444444445,0.3222222222222222,65,10,10,10,10,4,2,4,0,10,120,16
0,21,3,10,0.0,28.0,2.0,14.25,10.0,16.0,10.0,14.0,180.0,180.0,180.0,180.0,0.0,0.15555555555555556,0.011111111111111112,0.07916666666666666,0.24583333333333332,60,10,10,10,10,4,2,4,0,10,120,16
24,24,37,12,33.0,33.0,53.25,25.25,24.0,24.0,38.0,18.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.18333333333333332,0.29583333333333334,0.14027777777777778,0.8027777777777778,120,10,10,10,10,4,2,4,0,10,120,16
38,24,17,4,66.75,29.0,26.5,4.0,46.0,20.0,18.0,10.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.16111111111111112,0.14722222222222223,0.022222222222222223,0.701388888888889,110,10,10,10,10,4,2,4,0,10,120,16
27,30,14,17,31.83,43.75,22.25,26.5,20.0,28.0,14.0,17.0,180.0,180.0,180.0,180.0,0.17683333333333331,0.24305555555555555,0.12361111111111112,0.14722222222222223,0.6907222222222222,95,10,10,10,10,4,2,4,0,10,120,16
24,33,9,25,33.0,46.5,10.75,37.25,22.0,31.0,10.0,25.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.25833333333333336,0.059722222222222225,0.20694444444444443,0.7083333333333333,105,10,10,10,10,4,2,4,0,10,120,16
27,0,0,14,42.33,0.0,0.0,22.25,22.0,10.0,10.0,12.0,180.0,180.0,180.0,180.0,0.23516666666666666,0.0,0.0,0.12361111111111112,0.35877777777777775,70,10,10,10,10,4,2,4,0,10,120,16
42,7,9,14,65.0,11.0,12.5,22.25,40.0,10.0,10.0,14.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.06111111111111111,0.06944444444444445,0.12361111111111112,0.6152777777777778,90,10,10,10,10,4,2,4,0,10,120,16
0,14,38,16,0.0,22.25,51.25,23.0,10.0,14.0,26.0,14.0,180.0,180.0,180.0,180.0,0.0,0.12361111111111112,0.2847222222222222,0.12777777777777777,0.5361111111111111,75,10,10,10,10,4,2,4,0,10,120,16
12,16,42,0,25.25,23.0,56.5,0.0,13.0,12.0,29.0,10.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.12777777777777777,0.3138888888888889,0.0,0.5819444444444444,80,10,10,10,10,4,2,4,0,10,120,16
29,7,17,1,41.25,11.0,26.5,0.33,20.0,10.0,13.0,10.0,180.0,180.0,180.0,180.0,0.22916666666666666,0.06111111111111111,0.14722222222222223,0.0018333333333333335,0.43933333333333335,70,10,10,10,10,4,2,4,0,10,120,16
37,10,25,9,53.25,14.25,36.0,12.5,32.0,10.0,22.0,10.0,180.0,180.0,180.0,180.0,0.29583333333333334,0.07916666666666666,0.2,0.06944444444444445,0.6444444444444444,90,10,10,10,10,4,2,4,0,10,120,16
17,33,14,22,26.5,46.5,22.25,32.58,18.0,32.0,15.0,23.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.25833333333333336,0.12361111111111112,0.181,0.7101666666666666,105,10,10,10,10,4,2,4,0,10,120,16
18,5,37,9,21.25,10.5,50.33,12.5,11.0,10.0,27.0,10.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.058333333333333334,0.2796111111111111,0.06944444444444445,0.5254444444444444,75,10,10,10,10,4,2,4,0,10,120,16
24,31,37,24,33.0,44.5,50.33,38.0,21.0,28.0,32.0,24.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.24722222222222223,0.2796111111111111,0.2111111111111111,0.9212777777777778,120,10,10,10,10,4,2,4,0,10,120,16
3,0,21,16,2.0,0.0,28.0,17.0,10.0,10.0,15.0,9.0,180.0,180.0,180.0,180.0,0.011111111111111112,0.0,0.15555555555555556,0.09444444444444444,0.26111111111111107,60,10,10,10,10,4,2,4,0,10,120,16
12,7,0,3,25.25,11.0,0.0,3.0,15.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.06111111111111111,0.0,0.016666666666666666,0.21805555555555556,60,10,10,10,10,4,2,4,0,10,120,16
21,27,4,16,28.0,34.25,4.0,24.75,14.0,17.0,10.0,14.0,180.0,180.0,180.0,180.0,0.15555555555555556,0.19027777777777777,0.022222222222222223,0.1375,0.5055555555555555,70,10,10,10,10,4,2,4,0,10,120,16
14,1,19,16,16.25,0.33,26.75,17.0,10.0,10.0,14.0,12.0,180.0,180.0,180.0,180.0,0.09027777777777778,0.0018333333333333335,0.1486111111111111,0.09444444444444444,0.33516666666666667,60,10,10,10,10,4,2,4,0,10,120,16
4,37,24,12,4.0,50.33,33.0,19.5,10.0,29.0,19.0,12.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.2796111111111111,0.18333333333333332,0.10833333333333334,0.5934999999999999,85,10,10,10,10,4,2,4,0,10,120,16
37,24,26,12,50.33,38.0,41.5,14.25,36.0,27.0,30.0,10.0,180.0,180.0,180.0,180.0,0.2796111111111111,0.2111111111111111,0.23055555555555557,0.07916666666666666,0.8004444444444443,120,10,10,10,10,4,2,4,0,10,120,16
27,30,4,18,42.33,43.75,5.5,28.75,27.0,28.0,10.0,18.0,180.0,180.0,180.0,180.0,0.23516666666666666,0.24305555555555555,0.030555555555555555,0.1597222222222222,0.6685,100,10,10,10,10,4,2,4,0,10,120,16
7,0,12,21,11.0,0.0,14.25,28.0,10.0,10.0,12.0,16.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.0,0.07916666666666666,0.15555555555555556,0.29583333333333334,60,10,10,10,10,4,2,4,0,10,120,16
24,12,38,9,33.0,19.5,51.25,10.75,19.0,11.0,29.0,10.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.10833333333333334,0.2847222222222222,0.059722222222222225,0.6361111111111111,85,10,10,10,10,4,2,4,0,10,120,16
24,25,42,7,38.0,36.0,65.0,11.0,26.0,24.0,44.0,10.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.2,0.3611111111111111,0.06111111111111111,0.8333333333333333,120,10,10,10,10,4,2,4,0,10,120,16
12,37,25,24,14.25,53.25,36.0,26.5,10.0,36.0,25.0,18.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.29583333333333334,0.2,0.14722222222222223,0.7222222222222222,105,10,10,10,10,4,2,4,0,10,120,16
9,9,17,26,12.5,10.75,30.5,29.41,10.0,10.0,15.0,14.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.059722222222222225,0.16944444444444445,0.1633888888888889,0.4620000000000001,65,10,10,10,10,4,2,4,0,10,120,16
27,22,17,0,31.83,32.58,30.5,0.0,16.0,17.0,16.0,10.0,180.0,180.0,180.0,180.0,0.17683333333333331,0.181,0.16944444444444445,0.0,0.5272777777777777,75,10,10,10,10,4,2,4,0,10,120,16
12,1,14,27,25.25,1.0,22.25,31.83,12.0,10.0,14.0,15.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.005555555555555556,0.12361111111111112,0.17683333333333331,0.4462777777777778,65,10,10,10,10,4,2,4,0,10,120,16
4,16,17,24,4.0,23.0,30.5,32.25,10.0,13.0,16.0,17.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.12777777777777777,0.16944444444444445,0.17916666666666667,0.4986111111111111,70,10,10,10,10,4,2,4,0,10,120,16
18,16,14,29,21.25,23.0,16.25,41.25,11.0,12.0,10.0,24.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.12777777777777777,0.09027777777777778,0.22916666666666666,0.5652777777777778,75,10,10,10,10,4,2,4,0,10,120,16
0,14,24,30,0.0,16.25,29.0,33.5,10.0,10.0,14.0,17.0,180.0,180.0,180.0,180.0,0.0,0.09027777777777778,0.16111111111111112,0.18611111111111112,0.4375,65,10,10,10,10,4,2,4,0,10,120,16
27,14,16,0,34.25,22.25,24.75,0.0,16.0,11.0,12.0,10.0,180.0,180.0,180.0,180.0,0.19027777777777777,0.12361111111111112,0.1375,0.0,0.4513888888888889,65,10,10,10,10,4,2,4,0,10,120,16
21,27,4,0,28.0,42.33,4.0,0.0,13.0,21.0,10.0,10.0,180.0,180.0,180.0,180.0,0.15555555555555556,0.23516666666666666,0.022222222222222223,0.0,0.4129444444444444,70,10,10,10,10,4,2,4,0,10,120,16
25,0,10,27,36.0,0.0,14.25,42.33,18.0,10.0,10.0,21.0,180.0,180.0,180.0,180.0,0.2,0.0,0.07916666666666666,0.23516666666666666,0.5143333333333333,75,10,10,10,10,4,2,4,0,10,120,16
0,30,16,34,0.0,33.5,24.75,45.75,10.0,17.0,13.0,24.0,180.0,180.0,180.0,180.0,0.0,0.18611111111111112,0.1375,0.25416666666666665,0.5777777777777777,80,10,10,10,10,4,2,4,0,10,120,16
18,25,33,4,21.25,36.0,46.5,5.5,11.0,20.0,26.0,10.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.2,0.25833333333333336,0.030555555555555555,0.6069444444444444,85,10,10,10,10,4,2,4,0,10,120,16
17,25,26,25,26.5,36.0,41.5,42.5,19.0,26.0,29.0,30.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.2,0.23055555555555557,0.2361111111111111,0.8138888888888889,120,10,10,10,10,4,2,4,0,10,120,16
26,3,0,9,41.5,2.0,0.0,12.5,22.0,10.0,10.0,11.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.011111111111111112,0.0,0.06944444444444445,0.3111111111111111,65,10,10,10,10,4,2,4,0,10,120,16
26,33,3,0,41.5,46.5,3.0,0.0,21.0,23.0,10.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.25833333333333336,0.016666666666666666,0.0,0.5055555555555556,80,10,10,10,10,4,2,4,0,10,120,16
0,21,16,26,0.0,28.0,20.5,41.5,10.0,14.0,12.0,20.0,180.0,180.0,180.0,180.0,0.0,0.15555555555555556,0.11388888888888889,0.23055555555555557,0.5,70,10,10,10,10,4,2,4,0,10,120,16
16,12,27,37,20.5,19.5,31.83,53.25,14.0,13.0,21.0,36.0,180.0,180.0,180.0,180.0,0.11388888888888889,0.10833333333333334,0.17683333333333331,0.29583333333333334,0.6948888888888889,100,10,10,10,10,4,2,4,0,10,120,16
17,29,1,4,26.5,41.25,0.33,4.0,12.0,21.0,10.0,10.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.22916666666666666,0.0018333333333333335,0.022222222222222223,0.40044444444444444,70,10,10,10,10,4,2,4,0,10,120,16
12,37,42,18,25.25,50.33,56.5,21.25,17.0,34.0,38.0,14.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.2796111111111111,0.3138888888888889,0.11805555555555555,0.8518333333333333,120,10,10,10,10,4,2,4,0,10,120,16
16,42,3,4,24.75,56.5,2.0,4.0,12.0,30.0,10.0,10.0,180.0,180.0,180.0,180.0,0.1375,0.3138888888888889,0.011111111111111112,0.022222222222222223,0.4847222222222222,80,10,10,10,10,4,2,4,0,10,120,16
4,25,25,24,5.5,37.25,42.5,33.0,10.0,23.0,26.0,20.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.20694444444444443,0.2361111111111111,0.18333333333333332,0.6569444444444444,95,10,10,10,10,4,2,4,0,10,120,16
4,32,14,0,4.0,38.65,22.25,0.0,10.0,21.0,14.0,10.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.2147222222222222,0.12361111111111112,0.0,0.3605555555555555,70,10,10,10,10,4,2,4,0,10,120,16
2,1,0,7,2.75,1.0,0.0,11.0,10.0,10.0,10.0,15.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.005555555555555556,0.0,0.06111111111111111,0.08194444444444444,60,10,10,10,10,4,2,4,0,10,120,16
25,31,22,24,36.0,44.5,32.58,32.25,26.0,32.0,23.0,23.0,180.0,180.0,180.0,180.0,0.2,0.24722222222222223,0.181,0.17916666666666667,0.8073888888888889,120,10,10,10,10,4,2,4,0,10,120,16
